image,row,col,cluster,e0_gabor000,e0_gabor045,e0_gabor090,e0_gabor135,e0_log,e0_dog,e0_log2,e0_media,e1_gabor000,e1_gabor045,e1_gabor090,e1_gabor135,e1_log,e1_dog,e1_log2,e1_media,e2_gabor000,e2_gabor045,e2_gabor090,e2_gabor135,e2_log,e2_dog,e2_log2,e2_media
01.png,2,6,2,0.78161,1.27246,1.35772,0.99468,1.37562,1.20772,1.52425,250.95636,1.61374,1.83229,1.29649,1.08171,1.58190,3.02323,2.92162,249.58823,4.13281,5.14886,3.86810,3.15836,3.66026,5.42562,6.21604,246.13297
01.png,2,7,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00002,0.04703,0.04821,0.01007,0.01254,0.00056,0.16500,0.07431,254.99753
01.png,2,8,1,0.00372,0.00201,0.00358,0.00272,0.00186,0.00789,0.00702,254.99783,0.04702,0.01164,0.01666,0.05470,0.00772,0.25775,0.11331,254.98743,0.43550,0.41365,0.35852,0.77587,0.20424,3.59645,2.44684,254.67053
01.png,2,9,5,2.10639,2.31416,2.75424,3.49785,3.75192,5.33785,5.86492,213.67123,4.73197,4.21763,3.32198,4.24171,6.11401,11.17746,12.27181,212.85278,6.35134,6.65482,8.13816,5.61195,12.40731,10.31449,17.93231,211.76349
01.png,2,10,5,5.52044,5.06613,4.78741,4.93863,7.18752,8.23647,9.51552,148.43857,4.89424,6.66222,6.91492,5.92358,9.28885,14.08055,17.30047,148.20128,8.75000,12.43757,8.23369,6.71689,17.59662,15.53642,23.13751,151.87776
01.png,2,11,5,6.60173,4.98607,4.14188,5.30436,8.80872,9.33698,12.56946,205.33282,10.07534,6.00194,6.70909,8.68672,12.15938,12.47877,16.06823,202.70937,9.12300,4.03441,12.38054,13.35392,15.14413,11.27430,18.58797,195.41008
01.png,2,12,5,5.25564,5.19466,4.54584,5.89013,7.77094,10.70840,11.50466,190.63385,7.37401,6.01998,4.75081,9.44878,11.89810,12.07969,18.37940,188.85715,15.74244,6.62577,6.79435,11.99697,17.14304,7.50899,18.49374,185.80728
01.png,2,13,5,6.44140,4.65077,3.60844,7.26573,9.55817,8.10488,12.32133,164.19823,8.24382,5.90988,4.66907,8.74339,11.43942,10.48468,13.32127,163.31487,9.28438,7.72998,7.03581,8.14662,12.55666,5.71212,14.81340,163.78247
01.png,2,14,5,4.60758,5.08208,4.34261,6.31530,7.64745,7.03774,8.89918,150.35480,5.96359,7.34381,5.60955,6.80867,8.44111,9.44565,11.55798,153.13626,10.06357,9.75286,8.54601,6.19103,11.29000,9.58706,11.82902,158.29366
01.png,2,15,5,6.22310,3.52432,4.02689,5.78485,8.65810,7.96991,11.13339,174.08206,8.26479,6.23595,6.82113,6.88715,10.64273,10.96902,13.11718,174.87619,7.21260,6.15938,15.03588,5.32783,12.44562,5.37680,9.15824,177.47781
01.png,3,0,1,0.05425,0.06920,0.05959,0.05218,0.04543,0.17550,0.13108,254.89510,0.20430,0.31079,0.24261,0.39216,0.20292,2.69476,1.79969,254.61624,1.44482,2.37543,3.29332,2.37163,2.40527,10.23369,10.81474,251.68080
01.png,3,1,5,2.21883,2.85232,5.04344,4.47252,6.03706,7.23493,9.17973,129.27838,2.57606,3.89141,8.45163,8.28485,8.96547,11.37532,13.25881,132.83080,3.14642,7.88528,10.61072,6.46960,13.30667,12.77045,21.74971,142.96745
01.png,3,2,2,0.81835,0.85388,1.13118,0.80268,1.27239,1.14936,1.60068,44.82981,0.93441,1.26176,1.08438,1.15920,1.51281,2.78795,2.42882,45.33600,2.53988,1.61672,2.60457,2.93694,2.87632,19.60718,13.04271,48.34008
01.png,3,3,2,1.27059,1.13731,1.44458,0.89353,1.66031,1.73215,2.14455,53.07914,1.95708,1.34394,2.49800,1.97668,1.94232,4.78943,3.08600,53.19920,2.53759,2.38313,3.61075,2.36024,3.32325,16.19794,14.48704,56.39491
01.png,3,4,5,3.55379,7.89520,6.78295,3.60772,8.75614,8.24004,11.22862,185.84505,4.54035,9.42245,10.81214,5.86272,10.76588,11.94156,15.26021,180.91974,8.27535,8.78690,13.56532,6.79795,14.89186,7.35046,15.73567,172.35063
01.png,3,5,2,0.73935,1.30716,1.27115,0.55051,1.14043,1.00695,1.43715,251.73714,0.99454,1.07166,1.58996,0.94227,1.44976,2.52182,2.38352,250.72867,4.63785,4.25221,2.68962,2.67577,3.00064,8.64787,6.35914,247.93845
01.png,3,6,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00002,0.00009,0.00006,0.00001,0.00001,0.00060,0.00013,255.00000,0.08865,0.22565,0.12168,0.04766,0.00303,1.57662,0.51586,254.98528
01.png,3,7,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00002,0.00067,0.00311,0.00047,0.00050,0.00001,0.02318,0.00406,254.99998
01.png,3,8,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00052,0.00032,0.00012,0.00043,0.00001,0.00187,0.00071,255.00000,0.05286,0.03630,0.02041,0.13269,0.00174,0.73001,0.19822,254.99442
01.png,3,9,3,2.50535,1.53369,1.28456,2.16729,2.48337,2.67611,2.93766,242.61531,2.77543,2.06749,1.47033,2.49499,2.79499,4.17470,5.37875,242.62091,3.63792,4.78427,3.62127,5.58807,4.88601,7.92339,7.59380,241.66675
01.png,3,10,5,7.54227,5.16688,5.13354,4.82414,9.13499,10.84912,13.62545,188.55310,10.26292,8.43345,5.28526,6.38400,13.56070,14.18035,20.61942,191.27887,10.30174,16.23600,6.09316,10.30251,20.35369,8.38574,21.45789,198.59903
01.png,3,11,5,5.19844,4.98870,4.72909,6.24804,7.66985,9.38840,11.36823,189.92274,6.48713,8.02788,8.26740,8.49030,11.02907,12.98719,17.39790,190.45526,13.16803,14.19381,10.11259,8.70703,17.06388,10.77174,19.61924,191.12247
01.png,3,12,5,4.83150,4.78285,6.11613,5.41277,8.19765,9.17773,12.01156,204.50797,7.88223,6.93451,6.90342,7.70962,11.65725,12.57892,15.84276,199.20639,15.15726,9.71511,6.96587,6.58979,15.60417,13.09573,21.88912,188.77550
01.png,3,13,5,5.12538,4.34000,4.04758,7.28362,7.87350,7.42449,10.50340,217.85684,5.59047,8.73183,4.71097,6.28471,9.95709,9.43043,11.90411,218.34985,7.27797,9.71860,4.12116,10.93914,11.69906,9.26484,17.46369,215.54016
01.png,3,14,5,4.57871,4.60679,4.52478,5.79113,6.74448,7.68610,9.05833,183.73453,7.86569,3.97699,2.95149,5.42283,9.14728,11.47272,15.27913,183.01950,11.90470,7.80737,2.58961,8.84294,14.66848,8.58966,16.28576,184.97766
01.png,3,15,5,4.87357,2.60119,4.50991,2.10584,6.09179,8.15477,9.25646,191.24402,6.14859,2.98674,8.26036,3.08391,9.54520,14.51289,16.92177,192.08444,9.33243,5.78882,21.04805,4.31447,17.27752,7.27559,15.56376,195.14268
01.png,4,0,1,0.00368,0.00167,0.00344,0.00443,0.00216,0.00894,0.00674,254.99730,0.02926,0.00712,0.01088,0.06029,0.00753,0.26805,0.09025,254.98793,0.33313,0.17128,0.28645,0.69347,0.12056,4.70766,2.15532,254.79131
01.png,4,1,3,0.95002,1.71499,4.35006,2.70404,3.41894,4.08747,4.49850,233.65923,1.86428,3.05838,4.99881,3.55352,4.71635,7.37263,9.00255,231.84834,2.97559,8.45058,6.80804,6.64588,9.38462,11.14566,16.44349,224.93829
01.png,4,2,3,1.12721,2.11836,5.00496,1.62054,4.38361,5.47225,6.61821,93.86787,1.54264,3.47459,6.36741,2.52224,6.61970,9.50649,10.55171,95.22914,3.16657,6.60568,9.81012,5.55156,10.66849,17.20075,20.89943,101.03654
01.png,4,3,5,2.88362,4.17952,7.61022,5.35041,7.45025,8.36867,10.49321,123.16830,3.26021,5.32008,8.55707,7.40204,10.13063,10.88631,15.15289,121.24196,4.96940,5.64575,9.47619,15.14887,14.92140,11.91156,20.63060,117.93407
01.png,4,4,3,0.94065,1.25638,2.11358,1.22914,2.23747,3.29666,4.11047,243.90172,2.53154,3.28552,4.54714,3.09196,4.39808,6.24996,6.51810,239.95474,3.69410,3.82257,6.42957,7.62204,7.56363,11.86543,14.64933,231.06558
01.png,4,5,2,2.42875,0.47989,0.36922,0.36698,1.46618,1.71415,2.05243,250.48709,3.06704,1.00417,0.76070,0.88030,1.78497,2.75303,2.99197,250.19916,4.28875,2.25738,2.14109,2.00598,2.46230,7.44258,5.97392,248.95251
01.png,4,6,4,4.30388,0.45355,0.28472,0.40723,2.40626,2.87014,3.55276,246.83742,6.13027,0.69902,0.36679,0.52486,3.15020,4.18491,5.01074,245.84132,8.43766,1.10985,0.39769,1.14868,4.78869,6.96119,8.91281,242.55176
01.png,4,7,2,2.36575,0.48317,0.26953,0.37510,1.35462,2.08786,2.23613,250.71310,3.61238,1.23116,0.67840,0.88382,2.00018,3.46722,3.73973,249.52155,5.68156,2.71351,1.28376,1.87875,3.27781,5.81431,6.04143,247.00256
01.png,4,8,1,0.00312,0.00260,0.00374,0.00433,0.00190,0.00476,0.00397,254.99690,0.01533,0.01476,0.01339,0.03008,0.00385,0.31491,0.09536,254.99117,0.91788,0.83310,0.57343,0.77096,0.23680,6.60388,3.88761,254.57901
01.png,4,9,3,1.21091,1.64132,1.39294,1.49827,2.11353,2.71727,3.34125,245.94849,2.59100,2.20992,2.29986,3.09004,3.06992,4.62109,5.15167,246.00159,4.58698,6.38350,5.05549,3.15191,4.49270,8.55246,9.09385,244.53308
01.png,4,10,3,1.68163,1.28252,1.42971,1.45666,1.50785,3.53847,3.40899,250.67294,3.17071,3.61943,2.95362,3.26980,3.67787,8.11025,8.68894,247.14627,6.66961,7.20020,5.76043,4.96208,8.86551,10.38436,16.02504,237.58456
01.png,4,11,5,6.74125,6.21803,7.60717,9.24509,11.98957,11.06803,15.73639,183.29044,8.18187,9.65816,10.35950,9.70806,14.59976,10.18977,13.74334,184.51611,10.23842,10.87472,7.16200,6.08888,11.95489,9.58264,13.68464,189.57654
01.png,4,12,5,7.08537,5.95747,7.25663,10.90056,11.94538,11.92272,14.68623,165.32481,9.01547,9.08221,7.64309,10.56432,14.39683,10.72087,18.84696,166.69626,13.11318,10.51906,10.80995,9.58967,16.75024,12.60918,13.69170,169.92044
01.png,4,13,5,2.59206,2.55845,2.88206,4.68235,4.85882,7.41106,8.23428,205.34392,4.25062,6.22584,5.37954,7.39682,8.89985,13.52669,16.79145,204.55533,10.11770,7.33656,5.91214,12.52076,17.31018,4.41153,20.12560,204.40323
01.png,4,14,2,0.04180,0.04054,0.03423,0.04568,0.02068,0.51577,0.28032,254.96437,0.51071,0.42721,0.35987,0.29605,0.35507,3.91085,2.62847,254.49849,3.16079,2.94299,1.43919,2.30174,3.79450,11.09620,13.23222,250.03719
01.png,4,15,3,0.38580,0.69967,4.32186,0.55923,2.87436,5.09910,5.47404,221.89194,0.48747,0.99839,7.75191,0.90070,5.93252,11.11396,12.12041,224.17188,0.49106,0.97495,19.78628,1.11029,11.35887,11.92820,15.09185,231.44008
01.png,5,0,2,0.70521,1.07659,0.73440,0.70532,1.15942,2.00468,2.33344,249.36253,1.50146,1.60707,2.34949,1.87121,2.45907,2.86549,3.61760,249.70215,3.17756,2.83719,4.28511,4.46217,3.37990,3.26438,3.91373,250.27866
01.png,5,1,1,0.00167,0.00074,0.00094,0.00150,0.00016,0.00956,0.00495,254.99965,0.02229,0.01632,0.02234,0.05067,0.00728,0.77373,0.26964,254.98563,0.44148,0.63802,0.87168,0.78559,0.44342,10.24701,5.92399,254.29109
01.png,5,2,5,1.34291,2.79201,7.35016,2.18736,6.78142,10.14537,11.90704,182.42529,2.11268,4.97820,11.07164,3.09938,11.65524,16.48722,20.08329,185.17688,2.37780,8.32261,19.30942,4.69621,19.63740,12.37869,23.14792,190.44420
01.png,5,3,3,0.76061,0.77348,1.50093,1.79216,1.96478,4.00466,4.41891,246.79794,1.28484,1.56860,3.53936,4.17913,5.17943,8.37034,9.61969,240.31482,2.07679,2.82989,8.50547,7.31254,10.20516,14.55987,17.53793,226.03670
01.png,5,4,1,0.00138,0.00184,0.00291,0.00103,0.00084,0.01012,0.00783,254.99873,0.01573,0.04481,0.04689,0.01959,0.00825,0.46866,0.20289,254.98540,0.40624,0.99183,1.12122,0.58242,0.37504,9.48256,5.15252,254.39615
